Name,Address,Operation Hour,Latitude,Longitude
Subway Axis Atrium,"Axis Atrium, Lot No. G-3 Ground Floor, Jalan Cempaka, Taman Cempaka Ampang, 68000","Monday - Sunday, 8:00 AM - 9:00 PM",3.136505,101.747491
Subway Taman Prima Saujana,"G-2A-GB, Jalan Prima Saujana 2/D, Taman Prima Saujana, 43000 Kajang, Selangor","Monday - Sunday, 8:00 AM - 10:00 PM",3.008788,101.804503
Subway Aeon Rawang,"Komplex Beli Belah Aeon Anggun, Rawang, G61, No. 1 Persiaran, Anggun, Taman Anggun, Rawang, 48000","Monday - Sunday, 10:00 AM - 10:00 PM",3.316665,101.536474
Subway Kota Kemuning,"2.27.1 (Ground), 14, Persiaran Anggerik Vanilla, Kota Kemuning Seksyen 31, Shah Alam, 40460","Monday - Sunday, 8:00 AM - 10:00 PM",3.003765,101.538959
Subway Cova Square,"G16, Cova Square Jalan Teknologi Pju5 Kota Damansara 47810 Petaling Jaya Selangor","Monday - Sunday, 8:00 AM - 9:00 PM",3.147444,101.575434
Subway Giant Bandar Kinrara  - Puchong,"Giant Hypermkt Bandar Kinrara, Lot No:G8, Lot 449, Jalan BK 5A/1, Bandar Kinrara, Puchong, 47100","Monday - Sunday, 9:30 AM - 10:00 PM",3.050157,101.646321
Subway One City,"One City@Skypark, C-GF-01 Ground Floor, Jalan USJ 25/1, Subang Jaya, 47650","Monday - Sunday, 9:00 AM - 7:45 PM",3.021501,101.581089
Subway Eco Ardence,"L15-G-INT, L15-G-EXT, Ardence Lab, PT8 Persiaran Setia, 40170 Shah Alam, Selangor","Monday - Sunday, 10:30 AM - 8:00 PM",3.095179,101.481037
Subway Southgate,"Pusat Komersial Southgate, No. 2, Jalan Dua, Unit E-1-6, Off Jalan Chan Sow Lin, Lvl 1, Kuala Lumpur, 55200","Monday - Sunday, 8:00 AM - 9:00 PM",3.124517,101.710679
Subway Brem Mall,"G-06, Brem Mall, Jalan Kepong, Kepong, Kuala Lumpur, 52000","Monday - Sunday, 8:00 AM - 10:00 PM",3.204461,101.667600
Subway Festival City,"Setapak Central Mall, Lot S-23, No. 67 Jalan Taman Ibu Kota, Taman Danau Kota, Setapak, Kuala Lumpur, 53200","Monday - Sunday, 10:00 AM - 10:00 PM",3.204575,101.720530
Subway Citta Mall,"Lot F-09, 1st Floor, Citta Mall, No.1 Jln PJU 1A/48, PJU 1A, Ara Damansara, Petaling Jaya, 47301","Monday - Sunday, 9:30 AM - 8:00 PM",3.112187,101.579071
Subway Aeon Big Wangsamaju,"Aeon Big Wangsa Maju, F1-09, First Floor, Jalan 8/27A, Section 5, Wangsa Maju, 53300 Kuala Lumpur.","Monday - Sunday, 10:00 AM - 10:00 PM",3.196496,101.743179
Subway Shell Federal 4,"PT 5, CH 3100, KM 9, Federal Highway 2, Seksyen 1, 40450 Shah Alam, Selangor","Monday - Sunday, 8:00 AM - 8:00 PM",3.048916,101.452038
Subway Endah Parade,"Endah Parade Shopping Complex, Lot G-013A, Ground Floor, Jalan 1/149E, Kuala Lumpur, 57000","Monday - Sunday, 8:00 AM - 10:00 PM",3.063303,101.695198
Subway NKVE,"Lot 15385KM 15.3, (NKVE), Petronas New Klang Expressway, Damansara Bound, Sungai Buloh, 47000","Monday - Sunday, 10:00 AM - 9:00 PM",3.094220,101.541431
Subway BBT,"57-0, Jalan Batu Nilam 4, Bandar Bukit tinggi, 41200 Klang, Selangor",Monday - Sunday (8:00AM - 8:00PM),3.007776,101.436773
Subway Star Avenue,"Star Avenue Lifestyle Mall,  Lot No: L1-13 & L1-K2, No. 3, Jalan Zuhal U5/179, Pusat Komersial Arena Bintang,Seksyen U5, Shah Alam, 40150","Monday - Sunday, 10:00 AM - 10:00 PM",3.154583,101.553631
Subway Metro Point,"Metro Point Complex, Lot G03 Ground Floor, Jalan Jelok 8, Kajang, 43000","Monday - Sunday, 9:30 AM - 9:30 PM",2.991637,101.793722
Subway Forum,"Sunsuria Forum@7th Avenue, Block E, No.E-15,  Seksyen U13, Jalan Setia Dagang AL U13/AL, Setia Alam, 40170 Shah Alam, Selangor","Monday - Sunday, 8:30 AM - 9:00 PM",3.105348,101.467121
Subway Mydin USJ,"G-42 & G-43, Ground Floor,Persiaran Subang Permai, USJ 1, 47500 Subang Jaya, Selangor.","Monday - Sunday, 10:00 AM - 10:00 PM",3.057877,101.592775
