Outlet Name,Address,Operation Hour,Latitude,Longitude
Subway Aeon Alpha Angle,"AEON Alpha Angle Shopping Ctr, Lot F37A, Jalan R1, Seksyen 1, Bandar Baru Wangsa Maju, Kuala Lumpur, 53300","Monday - Sunday, 10:00 AM - 10:00 PM",3.201844,101.731845
Subway My Town,"Lot B1-07 & B1-08, Level Basement 1, MyTOWN Shopping Centre, Jalan Cochrane, Seksyen 90, Kuala Lumpur, 55100","Monday - Sunday, 10:00 AM - 10:00 PM",3.134863,101.722843
Subway Great Eastern Mall,"Great Eastern Mall, Lot 4C Lower Ground Floor, No 303 Jalan Ampang, Kuala Lumpur, 50450","Monday - Friday, 8:30 AM – 8:30PM,Saturday & Sunday, 9:30 AM – 8:30PM",3.160073,101.736901
Subway NU Sentral,"L4.13, Level Four, NU Sentral, No. 201 Jalan Tun Sambanthan, Kuala Lumpur, 50470","Monday - Sunday, 9:00 AM - 9:00 PM",3.133075,101.687034
Subway Sunway Putra,"Lot 4-60 & 4-79A, Fourth Floor, Sunway Putra Mall, No. 100, Jalan Putra, 50350 Kuala Lumpur","Monday - Sunday, 10:00 AM - 10:00 PM",3.166426,101.692419
Subway Melawati Mall,"L3-22, Third Floor, Melawati Mall, UP2-01, Melawati Mall, 355, Jalan Bandar Melawati, Pusat Bandar Melawati, 53100 Kuala Lumpur","Monday - Sunday, 10:00 AM - 10:00 PM",3.211379,101.748677
Subway Taman Melati,"No. 71-G Jalan Melati Utama 4, Taman Melati Utama, 53100 Setapak, Kuala Lumpur","Monday - Sunday, 7:30 AM - 10:00 PM",3.222755,101.731182
Subway Bukit Jalil,"Level 1 Axiata Arena, KL Sport City, Bukit Jalil, 57000, Kuala Lumpur","Monday - Sunday, 9:00 AM - 10:00 PM",3.053815,101.693434
Subway Sentul Sky Awani,"Ground Floor , Unit No. G-11, Residensi Awani, Sky Awani, No. 27 Jalan Sentul Perdana 51100, Kuala Lumpur","Monday - Sunday, 8:00 AM - 10:00 PM",3.209174,101.691372
Subway Pearl Point,"Lot No. 1.0.69 (Ground Floor), Pearl Point Shopping Mall, Batu 5, Jalan Klang Lama, 58000 Kuala Lumpur",Monday - Sunday (9:00AM - 10:00PM),3.083153,101.669445
Subway Gurney Mall (UTMKL),"Lot 1-03, Level 1, Residensi UTMKL, No 8 Jalan Maktab, 54000 Kuala Lumpur","Tuesday – Sunday, 10:00 AM – 9:30PM,Monday, 8:00 AM – 9:30PM",3.171561,101.721805
Subway KLTS,"45-G, Plaza KLTS, Block C, Jalan Gombak, 53000 Kuala Lumpur","Monday - Sunday, 9:00 AM - 9:30 PM",3.204075,101.70348
Subway KL East Mall,"LG 37  , Lower Ground Floor, KL East Mall, 823 Jalan Lingkaran Tengah 2, KL Timur, 53100 Kuala Lumpur","Sunday – Thursday, 10:00 AM – 8:00PM,Friday & Saturday, 9:00 AM – 8:00PM",3.224754,101.730533
Subway Bandar Sri Permaisuri,"Lot R-G-07, Ground Floor Q Avenue, Kompleks Permaisuri Q, No.6,Jalan Sri Permaisuri, Bandar Sri Permaisuri, Cheras 56000 Kuala Lumpur","Monday - Sunday, 10:00 AM - 9:00 PM",3.101187,101.711708
